orderNumber,productCode,quantityOrdered,priceEach,Thành tiền,orderLineNumber
10100.0,S24_3969,49.0,35.29,1729.21,1.0
10101.0,S18_2795,26.0,167.06,4343.56,1.0
10102.0,S18_1367,41.0,43.13,1768.3300000000002,1.0
10103.0,S24_2300,36.0,107.34,3864.2400000000002,1.0
10104.0,S12_3148,34.0,131.44,4468.96,1.0
10105.0,S24_3816,50.0,75.47,3773.5,1.0
10106.0,S700_2834,32.0,113.9,3644.8,1.0
10107.0,S12_2823,21.0,122.0,2562.0,1.0
10108.0,S24_3856,40.0,132.0,5280.0,1.0
10109.0,S18_2870,26.0,126.72,3294.72,1.0
10110.0,S18_2795,31.0,163.69,5074.39,1.0
10111.0,S18_3136,43.0,94.25,4052.75,1.0
10112.0,S10_1949,29.0,197.16,5717.64,1.0
10113.0,S32_3522,23.0,58.82,1352.86,1.0
10114.0,S24_2840,24.0,28.64,687.36,1.0
10115.0,S24_4048,44.0,106.45,4683.8,1.0
10116.0,S32_3207,27.0,60.28,1627.56,1.0
10117.0,S700_3962,45.0,89.38,4022.1,1.0
10118.0,S700_3505,36.0,86.15,3101.4,1.0
10119.0,S700_4002,26.0,63.67,1655.42,1.0
10120.0,S24_1578,35.0,110.45,3865.75,1.0
10121.0,S50_4713,44.0,72.41,3186.04,1.0
10122.0,S18_1984,31.0,113.8,3527.7999999999997,1.0
10123.0,S24_1628,50.0,43.27,2163.5,1.0
10124.0,S24_2022,22.0,36.29,798.38,1.0
10125.0,S18_1342,32.0,89.38,2860.16,1.0
10126.0,S24_2300,27.0,122.68,3312.36,1.0
10127.0,S12_3891,42.0,169.56,7121.52,1.0
10128.0,S18_4522,43.0,77.24,3321.3199999999997,1.0
10129.0,S24_3816,50.0,76.31,3815.5,1.0
10130.0,S18_3856,33.0,99.52,3284.16,1.0
10131.0,S700_2466,40.0,86.76,3470.4,1.0
10132.0,S700_3167,36.0,80.0,2880.0,1.0
10133.0,S32_1374,23.0,80.91,1860.9299999999998,1.0
10134.0,S12_2823,20.0,131.04,2620.7999999999997,1.0
10135.0,S24_2972,20.0,34.36,687.2,1.0
10136.0,S18_1984,36.0,120.91,4352.76,1.0
10137.0,S24_1628,26.0,40.25,1046.5,1.0
10138.0,S24_2022,33.0,38.53,1271.49,1.0
10139.0,S18_2949,46.0,91.18,4194.280000000001,1.0
10140.0,S24_2300,47.0,118.84,5585.4800000000005,1.0
10141.0,S24_4048,40.0,104.09,4163.6,1.0
10142.0,S24_3151,49.0,74.35,3643.1499999999996,1.0
10143.0,S50_1341,34.0,34.91,1186.9399999999998,1.0
10144.0,S32_4289,20.0,56.41,1128.1999999999998,1.0
10145.0,S32_2206,31.0,39.43,1222.33,1.0
10146.0,S18_4721,29.0,130.94,3797.2599999999998,1.0
10147.0,S24_2972,25.0,33.23,830.7499999999999,1.0
10148.0,S18_4409,34.0,83.75,2847.5,1.0
10149.0,S24_4258,20.0,90.57,1811.3999999999999,1.0
10150.0,S10_4962,20.0,121.15,2423.0,1.0
10151.0,S50_1392,26.0,108.81,2829.06,1.0
10152.0,S18_4027,35.0,117.77,4121.95,1.0
10153.0,S700_1138,43.0,58.0,2494.0,1.0
10154.0,S700_2610,36.0,59.27,2133.7200000000003,1.0
10155.0,S700_3167,43.0,76.8,3302.4,1.0
10156.0,S50_1341,20.0,43.64,872.8,1.0
10157.0,S32_1374,34.0,83.91,2852.94,1.0
10158.0,S24_2000,22.0,67.79,1491.38,1.0
10159.0,S24_3371,50.0,49.6,2480.0,1.0
10160.0,S18_3232,20.0,140.55,2811.0,1.0
10161.0,S18_4933,25.0,62.72,1568.0,1.0
10162.0,S18_1367,45.0,45.28,2037.6000000000001,1.0
10163.0,S10_1949,21.0,212.16,4455.36,1.0
10164.0,S32_1268,24.0,91.49,2195.7599999999998,1.0
10165.0,S18_3259,50.0,84.71,4235.5,1.0
10166.0,S18_4522,26.0,72.85,1894.1,1.0
10167.0,S18_1662,43.0,141.92,6102.5599999999995,1.0
10168.0,S10_1678,36.0,94.74,3410.64,1.0
10169.0,S24_3371,34.0,53.27,1811.18,1.0
10170.0,S24_3856,34.0,130.6,4440.4,1.0
10171.0,S18_1984,35.0,128.03,4481.05,1.0
10172.0,S24_2766,22.0,79.97,1759.34,1.0
10173.0,S18_3136,31.0,86.92,2694.52,1.0
10174.0,S12_1666,43.0,113.44,4877.92,1.0
10175.0,S12_4473,26.0,109.02,2834.52,1.0
10176.0,S12_3891,50.0,160.91,8045.5,1.0
10177.0,S700_2610,32.0,64.33,2058.56,1.0
10178.0,S700_2466,22.0,91.74,2018.28,1.0
10179.0,S32_1374,45.0,86.9,3910.5000000000005,1.0
10180.0,S24_4620,28.0,68.71,1923.8799999999999,1.0
10181.0,S24_1628,34.0,45.28,1539.52,1.0
10182.0,S18_3320,33.0,86.31,2848.23,1.0
10183.0,S10_4962,28.0,127.06,3557.6800000000003,1.0
10184.0,S32_3207,48.0,59.03,2833.44,1.0
10185.0,S700_2610,39.0,61.44,2396.16,1.0
10186.0,S18_1662,32.0,137.19,4390.08,1.0
10187.0,S18_2581,45.0,70.12,3155.4,1.0
10188.0,S10_1678,48.0,95.7,4593.6,1.0
10189.0,S12_2823,28.0,138.57,3879.96,1.0
10190.0,S32_2206,46.0,38.62,1776.52,1.0
10191.0,S12_3380,40.0,104.52,4180.8,1.0
10192.0,S24_2887,23.0,112.74,2593.02,1.0
10193.0,S18_2949,28.0,87.13,2439.64,1.0
10194.0,S24_2300,49.0,112.46,5510.54,1.0
10195.0,S32_3207,33.0,59.03,1947.99,1.0
10196.0,S18_3140,49.0,127.03,6224.47,1.0
10197.0,S72_1253,29.0,39.73,1152.1699999999998,1.0
10198.0,S700_2466,42.0,94.73,3978.6600000000003,1.0
10199.0,S50_1341,29.0,37.97,1101.1299999999999,1.0
10200.0,S32_1374,35.0,80.91,2831.85,1.0
10201.0,S12_2823,25.0,126.52,3163.0,1.0
10202.0,S24_4620,50.0,75.18,3759.0000000000005,1.0
10203.0,S18_3232,48.0,157.49,7559.52,1.0
10204.0,S18_2325,26.0,119.5,3107.0,1.0
10205.0,S18_1367,48.0,45.82,2199.36,1.0
10206.0,S700_2824,33.0,89.01,2937.3300000000004,1.0
10207.0,S18_4027,40.0,143.62,5744.8,1.0
10208.0,S700_2610,46.0,63.61,2926.06,1.0
10209.0,S24_2841,43.0,66.45,2857.35,1.0
10210.0,S10_4698,34.0,189.79,6452.86,1.0
10211.0,S24_3371,48.0,52.66,2527.68,1.0
10212.0,S24_2766,45.0,81.78,3680.1,1.0
10213.0,S18_4409,38.0,84.67,3217.46,1.0
10214.0,S18_2795,50.0,167.06,8353.0,1.0
10215.0,S18_4668,46.0,42.76,1966.9599999999998,1.0
10216.0,S12_1666,43.0,133.94,5759.42,1.0
10217.0,S24_2300,28.0,103.51,2898.28,1.0
10218.0,S18_2319,22.0,110.46,2430.12,1.0
10219.0,S18_2238,43.0,132.62,5702.66,1.0
10220.0,S12_3891,27.0,166.1,4484.7,1.0
10221.0,S24_2011,49.0,113.06,5539.9400000000005,1.0
10222.0,S700_2466,37.0,90.75,3357.75,1.0
10223.0,S10_1678,37.0,80.39,2974.43,1.0
10224.0,S18_3782,38.0,57.2,2173.6,1.0
10225.0,S18_1129,32.0,116.06,3713.92,1.0
10226.0,S24_1046,21.0,65.41,1373.61,1.0
10227.0,S18_3320,33.0,99.21,3273.93,1.0
10228.0,S18_1097,32.0,100.34,3210.88,1.0
10229.0,S12_4473,36.0,95.99,3455.64,1.0
10230.0,S12_3148,43.0,128.42,5522.0599999999995,1.0
10231.0,S12_3891,49.0,147.07,7206.429999999999,1.0
10232.0,S700_3505,48.0,86.15,4135.200000000001,1.0
10233.0,S700_2610,29.0,67.94,1970.26,1.0
10234.0,S18_1662,50.0,146.65,7332.5,1.0
10235.0,S32_1374,41.0,90.9,3726.9,1.0
10236.0,S10_2016,22.0,105.86,2328.92,1.0
10237.0,S18_3782,26.0,49.74,1293.24,1.0
10238.0,S12_3380,29.0,104.52,3031.08,1.0
10239.0,S18_3232,47.0,135.47,6367.09,1.0
10240.0,S18_3685,37.0,134.22,4966.14,1.0
10241.0,S18_2248,33.0,55.7,1838.1000000000001,1.0
10242.0,S24_3969,46.0,36.52,1679.92,1.0
10243.0,S24_1937,33.0,30.87,1018.71,1.0
10244.0,S18_2949,30.0,87.13,2613.8999999999996,1.0
10245.0,S32_1268,37.0,81.86,3028.82,1.0
10246.0,S24_4048,46.0,100.54,4624.84,1.0
10247.0,S12_3891,27.0,167.83,4531.410000000001,1.0
10248.0,S18_3029,21.0,80.86,1698.06,1.0
10228.0,S10_1949,29.0,214.3,6214.700000000001,2.0
10250.0,S24_2000,32.0,63.22,2023.04,1.0
10251.0,S12_2823,46.0,129.53,5958.38,1.0
10252.0,S18_3482,41.0,145.52,5966.320000000001,1.0
10253.0,S18_1589,24.0,103.29,2478.96,1.0
10254.0,S24_1937,38.0,28.88,1097.44,1.0
10255.0,S18_2795,24.0,135.0,3240.0,1.0
10256.0,S18_1367,29.0,52.83,1532.07,1.0
10257.0,S18_2949,50.0,92.19,4609.5,1.0
10258.0,S700_2824,45.0,86.99,3914.5499999999997,1.0
10259.0,S24_1444,28.0,46.82,1310.96,1.0
10260.0,S18_3140,32.0,121.57,3890.24,1.0
10261.0,S10_4757,27.0,116.96,3157.9199999999996,1.0
10262.0,S24_1785,34.0,98.48,3348.32,1.0
10263.0,S12_2823,48.0,123.51,5928.4800000000005,1.0
10264.0,S24_4620,47.0,75.18,3533.4600000000005,1.0
10265.0,S18_3482,49.0,123.47,6050.03,1.0
10266.0,S24_1628,28.0,40.25,1127.0,1.0
10267.0,S18_4933,36.0,71.27,2565.72,1.0
10268.0,S18_3320,39.0,96.23,3752.9700000000003,1.0
10269.0,S18_2957,32.0,57.46,1838.72,1.0
10270.0,S32_1268,32.0,93.42,2989.44,1.0
10271.0,S24_4048,22.0,110.0,2420.0,1.0
10272.0,S12_3891,39.0,148.8,5803.200000000001,1.0
10273.0,S18_3856,50.0,105.87,5293.5,1.0
10274.0,S18_1662,41.0,129.31,5301.71,1.0
10275.0,S10_1678,45.0,81.35,3660.7499999999995,1.0
10276.0,S12_3380,47.0,104.52,4912.44,1.0
10277.0,S12_4675,28.0,93.28,2611.84,1.0
10278.0,S24_1628,35.0,48.8,1708.0,1.0
10279.0,S18_4933,26.0,68.42,1778.92,1.0
10280.0,S18_1097,24.0,98.0,2352.0,1.0
10281.0,S12_4473,41.0,98.36,4032.7599999999998,1.0
10282.0,S18_3140,43.0,122.93,5285.990000000001,1.0
10283.0,S72_1253,43.0,41.22,1772.46,1.0
10284.0,S18_2581,31.0,68.43,2121.3300000000004,1.0
10285.0,S32_2206,37.0,36.61,1354.57,1.0
10286.0,S18_3782,38.0,51.6,1960.8,1.0
10287.0,S18_2870,44.0,114.84,5052.96,1.0
10288.0,S24_1937,29.0,32.19,933.51,1.0
10289.0,S18_1367,24.0,44.75,1074.0,1.0
10290.0,S24_4258,45.0,83.76,3769.2000000000003,1.0
10291.0,S24_2300,48.0,109.9,5275.200000000001,1.0
10292.0,S50_1514,35.0,49.79,1742.6499999999999,1.0
10293.0,S72_3212,32.0,51.32,1642.24,1.0
10294.0,S700_3962,45.0,98.32,4424.4,1.0
10295.0,S10_4757,24.0,136.0,3264.0,1.0
10296.0,S50_1341,26.0,41.02,1066.52,1.0
10297.0,S24_2000,32.0,70.08,2242.56,1.0
10298.0,S10_2016,39.0,105.86,4128.54,1.0
10299.0,S24_4620,32.0,66.29,2121.28,1.0
10300.0,S18_1889,41.0,63.14,2588.7400000000002,1.0
10301.0,S24_1046,27.0,64.67,1746.0900000000001,1.0
10302.0,S18_1749,43.0,166.6,7163.8,1.0
10303.0,S24_3969,24.0,35.7,856.8000000000001,1.0
10304.0,S700_2824,40.0,80.92,3236.8,1.0
10305.0,S24_4048,36.0,118.28,4258.08,1.0
10306.0,S700_2610,43.0,62.16,2672.8799999999997,1.0
10307.0,S18_1662,39.0,135.61,5288.790000000001,1.0
10308.0,S10_4698,20.0,187.85,3757.0,1.0
10309.0,S50_4713,28.0,74.04,2073.1200000000003,1.0
10310.0,S18_1984,24.0,129.45,3106.7999999999997,1.0
10311.0,S18_4409,41.0,92.03,3773.23,1.0
10312.0,S18_4668,39.0,44.27,1726.5300000000002,1.0
10313.0,S32_2509,38.0,48.7,1850.6000000000001,1.0
10314.0,S18_3140,20.0,129.76,2595.2,1.0
10315.0,S24_3151,24.0,78.77,1890.48,1.0
10316.0,S24_1785,25.0,93.01,2325.25,1.0
10317.0,S24_4278,35.0,69.55,2434.25,1.0
10318.0,S10_1678,46.0,84.22,3874.12,1.0
10319.0,S18_3278,46.0,77.19,3550.74,1.0
10320.0,S12_3380,35.0,102.17,3575.9500000000003,1.0
10321.0,S24_2766,30.0,74.51,2235.3,1.0
10322.0,S10_1949,40.0,180.01,7200.4,1.0
10323.0,S18_4600,47.0,96.86,4552.42,1.0
10324.0,S12_3148,27.0,148.06,3997.62,1.0
10325.0,S12_3891,24.0,166.1,3986.3999999999996,1.0
10326.0,S700_1138,39.0,60.67,2366.13,1.0
10327.0,S700_2610,21.0,65.05,1366.05,1.0
10328.0,S24_2841,48.0,67.82,3255.3599999999997,1.0
10329.0,S10_1678,42.0,80.39,3376.38,1.0
10330.0,S24_2360,42.0,56.1,2356.2000000000003,1.0
10331.0,S24_3856,21.0,139.03,2919.63,1.0
